Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Male,44,1,28,0,> 2 Years,1,40454,26,217,1
Male,76,1,3,0,1-2 Year,0,33536,26,183,0
Male,47,1,28,0,> 2 Years,1,38294,26,27,1
Male,21,1,11,1,< 1 Year,0,28619,152,203,0
Female,29,1,41,1,< 1 Year,0,27496,152,39,0
Female,24,1,33,0,< 1 Year,1,2630,160,176,0
Male,23,1,11,0,< 1 Year,1,23367,152,249,0
Female,56,1,28,0,1-2 Year,1,32031,26,72,1
Female,24,1,3,1,< 1 Year,0,27619,152,28,0
Female,32,1,6,1,< 1 Year,0,28771,152,80,0
Female,47,1,35,0,1-2 Year,1,47576,124,46,1
Female,24,1,50,1,< 1 Year,0,48699,152,289,0
Female,41,1,15,1,1-2 Year,0,31409,14,221,0
Male,76,1,28,0,1-2 Year,1,36770,13,15,0
Male,71,1,28,1,1-2 Year,0,46818,30,58,0
Male,37,1,6,0,1-2 Year,1,2630,156,147,1
Female,25,1,45,0,< 1 Year,1,26218,160,256,0
Female,25,1,35,1,< 1 Year,0,46622,152,299,0
Male,42,1,28,0,1-2 Year,1,33667,124,158,0
Female,60,1,33,0,1-2 Year,1,32363,124,102,1
Male,65,1,28,0,1-2 Year,1,41184,124,116,0
Male,49,1,28,0,1-2 Year,1,50791,124,177,0
Male,23,1,50,1,< 1 Year,0,45283,152,232,0
Male,44,1,28,0,1-2 Year,1,41852,163,60,0
Male,34,1,15,1,1-2 Year,0,38111,152,180,0
Female,21,1,28,1,< 1 Year,0,61964,152,72,0
Female,51,1,28,0,1-2 Year,1,38341,124,49,1
Male,26,1,6,1,< 1 Year,0,19135,152,57,0
Female,25,1,8,1,< 1 Year,0,27946,152,223,0
Male,57,1,11,0,1-2 Year,1,25679,157,232,1
Female,26,1,8,0,< 1 Year,0,2630,160,136,0
Male,79,1,28,0,1-2 Year,1,57444,26,222,0
Female,48,1,28,0,1-2 Year,1,36951,122,149,0
Female,24,1,36,0,< 1 Year,1,43129,152,49,0
Female,32,1,30,1,< 1 Year,0,27638,152,169,0
Male,41,1,36,1,1-2 Year,0,30039,124,88,0
Male,71,1,8,1,1-2 Year,0,40903,19,253,0
Female,25,1,28,1,< 1 Year,0,76251,152,107,0
Male,45,1,8,0,1-2 Year,1,42297,124,264,0
Male,72,1,41,1,1-2 Year,0,32210,152,233,0
Male,30,1,30,0,< 1 Year,1,24550,124,45,0
Female,54,1,28,0,1-2 Year,0,38560,122,184,0
Male,27,1,41,0,< 1 Year,0,21078,152,251,0
Female,38,1,35,1,1-2 Year,0,2630,152,153,0
Female,26,1,30,1,< 1 Year,0,31136,152,186,0
Male,56,1,28,0,1-2 Year,1,34617,124,71,0
Female,29,1,15,1,< 1 Year,0,32923,152,34,0
Male,51,1,26,1,1-2 Year,0,33761,22,83,0
Female,25,1,15,0,< 1 Year,0,38667,152,12,0
Male,48,1,3,0,1-2 Year,0,38233,124,246,0
Female,22,1,50,0,< 1 Year,0,15052,152,141,0
Male,22,1,16,0,< 1 Year,1,30673,152,216,0
